Customer_ID,First_Name,Last_Name,Email,Phone,DOB,Gender,Address,City,ST,Zip_Code,Member_Since,Newsletter_Subscription,Feedback_Provided,Communication_Preferences,Data_Sharing_Consent
CUST0000,Sheila,Garcia,perryamy@example.org,691-567-7618x9089,1994-09-15,Other,10471 Vasquez Squares,Johnhaven,MN,55718,2021-04-01,True,True,Email,True
CUST0001,Matthew,Simpson,uwalls@example.net,001-857-509-5186x599,1989-05-01,Male,0220 Vincent Lights Suite 286,Osbornebury,MN,55025,2022-04-01,False,True,SMS,True
CUST0002,Michael,Curry,mcoleman@example.com,001-232-634-3256x417,1954-06-27,Male,4884 Casey Valley,Morenoport,MN,55845,2020-06-11,True,True,SMS,True
CUST0003,Tara,Forbes,westdaniel@example.net,+1-237-805-3539x12979,1989-11-12,Other,556 Kevin Forest,Tannerfurt,MN,55465,2020-12-12,False,False,Email,True
CUST0004,Leslie,Lee,amber03@example.net,984.432.7771x47405,1993-05-24,Female,60452 Ferguson Club Apt. 171,Allisonview,MN,55131,2022-04-27,True,True,None,False
CUST0005,Jennifer,Baxter,charles04@example.com,615-603-9881,1984-07-19,Male,77021 Jensen Extension,Jordanville,MN,56738,2021-01-15,True,False,SMS,True
CUST0006,Danielle,Khan,john56@example.org,(516)833-5995x55832,1999-12-28,Other,12983 Mcgee Green,Cindyhaven,MN,55129,2019-11-29,True,False,Email,True
CUST0007,Kenneth,Camacho,sgreen@example.net,801.761.2172x6912,1964-12-22,Male,20549 Weber Street Suite 529,East Elizabethchester,MN,55140,2023-09-09,True,True,SMS,False
CUST0008,Garrett,Robinson,timothy52@example.net,455.242.5408x71475,1958-03-21,Other,886 Kelly Valleys Apt. 422,Port George,MN,56283,2021-10-14,True,False,SMS,True
CUST0009,Lindsay,Moore,timothyvillanueva@example.com,+1-369-911-6806x77030,1964-09-29,Prefer not to say,31096 Hicks Place Suite 399,Gilltown,MN,55158,2023-11-09,False,True,None,True
CUST0010,Kristina,Crane,heather62@example.com,251.496.8902,1969-11-16,Female,640 Jerome Pike Apt. 190,Paulamouth,MN,55811,2023-06-20,True,True,None,True
CUST0011,Jessica,Davis,hernandezpatricia@example.net,631-484-5347x759,1963-02-09,Other,55530 Regina Loop Suite 228,Adamsmouth,MN,56465,2020-12-19,True,True,Email,True
CUST0012,Audrey,Long,scott22@example.com,(841)248-6015,1982-06-30,Male,60116 Edwards Underpass Suite 484,South Phillipport,MN,55054,2022-11-04,True,False,Email,True
CUST0013,Matthew,Valencia,geraldbird@example.net,(401)398-3811,1983-04-16,Other,967 Misty Terrace,Kellyburgh,MN,56394,2019-12-24,True,True,SMS,True
CUST0014,Natalie,Clark,charper@example.net,456-516-8021x710,1953-08-12,Prefer not to say,2849 Warner Brooks Suite 516,Port Lindamouth,MN,56732,2022-01-22,True,False,Email,True
CUST0015,Lynn,Brown,sullivanfrances@example.org,+1-456-539-8187x82315,1990-06-15,Male,776 David Street,New Heather,MN,55814,2020-03-28,True,True,None,True
CUST0016,Laurie,Ross,edavis@example.org,(897)805-9146,1993-06-17,Female,53240 Brittany Ridge Suite 644,Melanieton,MN,55341,2021-03-10,True,True,None,True
CUST0017,William,Williams,margaretross@example.org,659.516.6631x324,1965-09-18,Male,7768 Wells Mountains,Jenniferton,MN,55597,2019-07-20,True,False,None,False
CUST0018,Scott,Lopez,gregoryboone@example.com,(230)348-4385x1367,1957-02-14,Other,95259 Allen Curve Apt. 645,Patelshire,MN,55115,2023-11-06,False,True,SMS,False
CUST0019,James,Day,ohamilton@example.org,(275)670-2357x26789,1976-08-28,Male,7271 Martin Glens Apt. 985,Charleshaven,MN,56159,2023-03-31,True,False,None,False
CUST0020,Denise,Hudson,atorres@example.net,276.612.3548x51639,1994-09-01,Prefer not to say,482 Ball Shore Suite 579,Port Jenniferburgh,MN,55577,2022-08-03,False,True,Email,True
CUST0021,Erica,Brown,donovanheather@example.com,940.358.9083x126,1998-03-31,Other,690 Solis Ways,Port Jasonborough,MN,56112,2022-02-10,True,False,Email,True
CUST0022,Kristy,Johnson,rickyweaver@example.org,+1-241-780-1459x149,1979-12-06,Male,3244 Willis Manors Apt. 712,Lake Katherinebury,MN,56120,2021-10-28,True,True,None,False
CUST0023,Carol,Morris,brownashley@example.com,805.452.8179x2045,1977-05-12,Female,97070 Laurie Tunnel Suite 672,Brendaside,MN,55510,2022-12-21,False,False,SMS,True
CUST0024,Joyce,Thompson,garzakaren@example.net,+1-378-377-5116x24703,1954-05-09,Male,219 Adams Heights,Lisachester,MN,56196,2019-08-02,True,False,Email,True
CUST0025,Allison,Rice,peterlewis@example.net,4738302936,1959-04-19,Prefer not to say,0868 Day Ports,Robertsfurt,MN,55149,2023-12-23,False,True,SMS,False
CUST0026,Nathan,Benson,ywhite@example.com,001-526-509-5791x654,1967-10-13,Prefer not to say,21296 Dorsey Mission Apt. 512,Barkerfort,MN,55400,2021-11-11,True,True,Email,True
CUST0027,Renee,Cooper,charleswang@example.org,+1-719-509-5052,1979-05-09,Prefer not to say,2275 Jenkins Falls,West Gina,MN,56141,2020-05-15,False,True,None,True
CUST0028,Evelyn,Hill,diane38@example.org,647-475-2213x74996,1964-04-30,Other,631 Lisa Cliff,Garciastad,MN,55489,2022-02-11,True,True,Email,True
CUST0029,Heather,Haley,agalvan@example.com,(445)277-6938,2004-11-21,Other,1682 Cook Bridge Suite 820,Port Alexander,MN,55871,2023-06-14,False,False,Email,True
CUST0030,Kathy,Thomas,camposryan@example.org,001-503-545-3066x360,1961-07-09,Male,499 Webster Haven Apt. 424,Andersonside,MN,55882,2020-05-21,True,False,Email,True
CUST0031,Sandra,Ford,kimberly00@example.net,(981)278-2737x315,1987-09-11,Male,111 Morales Grove,Port Stephanieton,MN,55322,2024-02-07,True,True,Email,False
CUST0032,Katie,Chaney,samantha37@example.org,001-259-829-3022x803,1976-10-04,Male,2274 Rangel Mission,Lake Feliciaport,MN,55042,2020-10-10,False,False,None,True
CUST0033,Amanda,Guzman,michaelscott@example.com,(655)798-0828,1984-07-02,Prefer not to say,3925 Aaron Cove,Keithshire,MN,55440,2021-02-18,True,False,None,True
